,restaurant,username,review,rating,daysago,linktoreview
0,Burger King Vilanova,Iratxe Gomez Morales,"Fui el otro dia a comer con  hermana y nos atendieron Anna y Keyla (creo que la chica se llamaba asi), ambas fueron super amables en todo momento.
Definitivamente merecen un aumento de sueldo!!!",5,3,https://www.google.com/maps/contrib/105962148254097631016/reviews?hl=en
1,Burger King Vilanova,Florian Carrara,No Review,4,3,https://www.google.com/maps/contrib/104517834969944423772/reviews?hl=en
2,Burger King Vilanova,Oriol Artigas Miracle,No Review,3,4,https://www.google.com/maps/contrib/100264593609566831010/reviews?hl=en
3,Burger King Vilanova,Alejo Amendolara,"Muy buena atencion, muy simpaticas la chicas!!",5,5,https://www.google.com/maps/contrib/100450085077298772463/reviews?hl=en
4,Burger King Vilanova,Paula Jimenez,"Muy buen servicio y atencion al cliente, la comida se ha servido rapidamente y caliente.",5,5,https://www.google.com/maps/contrib/103629546930116181762/reviews?hl=en
5,Burger King Vilanova,Lucia,Todo muy rapido y bien!,5,5,https://www.google.com/maps/contrib/114070395377185847660/reviews?hl=en
6,Burger King Vilanova,Umbert Viladot,Recomendable. Personal muy amable y atento.,5,5,https://www.google.com/maps/contrib/102841474729332626373/reviews?hl=en
7,Burger King Vilanova,Jali Zou,No Review,5,5,https://www.google.com/maps/contrib/104470688975024285574/reviews?hl=en
8,Burger King Vilanova,Stef Boltek,Keila is the best!!!,5,5,https://www.google.com/maps/contrib/109375515167379332178/reviews?hl=en
9,Burger King Vilanova,amir ahmad naz Ramzan,SUPER BIEN EL SERVICIO MUY BUENA LA COMIDA Y LA CHICA Keila que nos atendio super bien ....,5,5,https://www.google.com/maps/contrib/118020437127220331677/reviews?hl=en
10,Burger King Vilanova,Marco Antonio Pulido Luna,Amplio parking y mesas fuera para comer fuera.,4,7,https://www.google.com/maps/contrib/115876229075293555602/reviews?hl=en
11,Burger King Vilanova,Gabriela Stancampiano,No Review,5,7,https://www.google.com/maps/contrib/101985260621586128463/reviews?hl=en
12,Burger King Vilanova,Jorge LXM,El servicio es malo,1,7,https://www.google.com/maps/contrib/106348539856497873884/reviews?hl=en
13,Burger King Vilanova,Diana,"Excelente servicio, todo limpio (estuvimos a primera hora para comer, lo cual seguramente por la tarde al haber mas gente haya mas movimiento y es normal) las chicas simpaticas y agradables, muy amables y serviciales.
Para comer algo rapido nos hemos ido con muy buen trato.
Ademas la app con sus ofertas son geniales dos menus 7EUR
Gracias!",5,14,https://www.google.com/maps/contrib/114728540738272208298/reviews?hl=en
14,Burger King Vilanova,Gerard 03,No Review,5,21,https://www.google.com/maps/contrib/112532512700693078797/reviews?hl=en
15,Burger King Vilanova,amparo estada pico,No Review,5,21,https://www.google.com/maps/contrib/114338427571486583893/reviews?hl=en
16,Burger King Vilanova,Reece R,Services a good buger. Can't say much for the onion rings however.,5,21,https://www.google.com/maps/contrib/108824093756306649872/reviews?hl=en
