,restaurant,username,review,rating,daysago,linktoreview
0,McDonald's Cornellà Almeda,Davidyal Singh,No Review,1,1,https://www.google.com/maps/contrib/101857759692413011561/reviews?hl=en
1,McDonald's Cornellà Almeda,Toni Ruiz Rodriguez,No Review,5,1,https://www.google.com/maps/contrib/102631899306514629693/reviews?hl=en
2,McDonald's Cornellà Almeda,Miguel CDJD,No Review,4,2,https://www.google.com/maps/contrib/115908791638586385535/reviews?hl=en
3,McDonald's Cornellà Almeda,Ensslin Meinhof bcn,"Estoy aqui ahora mismo, y la chica que atiende en mc auto no se entera de nada, le hemos tenido que repetir 7 veces que no queriamos cebolla en una hamburguesa, y va y despues de 7 veces nos dice, que los ingredientes y repite cebolla, DESPUES DE 7 VECES DECIRLE QUE QUITE LA CEBOLLA!!! en serio, hacer el pedido se esta convirtiendo en una mision imposible, no entiende nada de lo que se le dice, al final nos ha puesto lo que le ha dado la realisima gana!! Parecia una conversacion de besugos, ha llegado un momento que pensabamos que era una broma, porque de verdad, no se puede ser tan incompetente.
Al final nos ha puesto cebolla a tope  en fin, no recomiendo venir aqui al menos mientras este esta mpleada que no se entera de nada, podeis recoger un pedido sorpresa.",1,2,https://www.google.com/maps/contrib/105992174168605609857/reviews?hl=en
4,McDonald's Cornellà Almeda,Roger Rib Superior,No Review,4,3,https://www.google.com/maps/contrib/116662050052993177460/reviews?hl=en
5,McDonald's Cornellà Almeda,Pedro J Ruedas,No Review,3,3,https://www.google.com/maps/contrib/111665181989836283559/reviews?hl=en
6,McDonald's Cornellà Almeda,Alonso,No Review,5,5,https://www.google.com/maps/contrib/106598312119840077723/reviews?hl=en
7,McDonald's Cornellà Almeda,Sole Vilaza,No Review,5,5,https://www.google.com/maps/contrib/100758937229432209507/reviews?hl=en
8,McDonald's Cornellà Almeda,Rut Gonzalez,No Review,3,6,https://www.google.com/maps/contrib/105408903146241265849/reviews?hl=en
9,McDonald's Cornellà Almeda,ANTONIO CHEDIAK BERDEKJ,Parking espacioso. Comida recien y caliente. Me gusta es comodo,5,6,https://www.google.com/maps/contrib/118091713209924171962/reviews?hl=en
10,McDonald's Cornellà Almeda,Antonio Gomez Garcia,No se puede dar hemos de 1 estrella???. Servicio muy muy muy lento. Mejor no venir. Personal no muy simpatico por decirlo bien.,1,6,https://www.google.com/maps/contrib/106751016533402220195/reviews?hl=en
11,McDonald's Cornellà Almeda,Paula Gonzalez,No Review,3,7,https://www.google.com/maps/contrib/110054077172718744124/reviews?hl=en
12,McDonald's Cornellà Almeda,Frederic Santiuste,No Review,4,7,https://www.google.com/maps/contrib/110984926812168505556/reviews?hl=en
13,McDonald's Cornellà Almeda,Walter Obando,No Review,3,7,https://www.google.com/maps/contrib/117964430007621748236/reviews?hl=en
14,McDonald's Cornellà Almeda,ivan carrillo,"Un mc donalds como todos, rapido y normal, pides esperas 10m-20m maximo y listo",4,7,https://www.google.com/maps/contrib/105358789999283326671/reviews?hl=en
15,McDonald's Cornellà Almeda,Isaac Munoz,No Review,4,7,https://www.google.com/maps/contrib/114419866012501626504/reviews?hl=en
16,McDonald's Cornellà Almeda,Oscar B,Tipico,3,7,https://www.google.com/maps/contrib/112749962278437161217/reviews?hl=en
17,McDonald's Cornellà Almeda,Roger NC,No Review,4,7,https://www.google.com/maps/contrib/103786830003889918457/reviews?hl=en
18,McDonald's Cornellà Almeda,Mauricio Oviedo,No Review,3,7,https://www.google.com/maps/contrib/103359562245751993752/reviews?hl=en
19,McDonald's Cornellà Almeda,Digna Estela Cerrato Dubon,"Lo recomiendo,calidad precio siempre bien amables los chicos q atienden",5,14,https://www.google.com/maps/contrib/114580665213297071472/reviews?hl=en
20,McDonald's Cornellà Almeda,Jose luis Zomeno,No Review,2,14,https://www.google.com/maps/contrib/113694015033912164268/reviews?hl=en
21,McDonald's Cornellà Almeda,susana sarmiento melero,No Review,5,14,https://www.google.com/maps/contrib/106351273907568292438/reviews?hl=en
22,McDonald's Cornellà Almeda,Maria Paz Aris,"Ha salido todo muy bien, la comida rapida y el trato excelente, la encargada solucionaba todo con eficiencia",5,14,https://www.google.com/maps/contrib/105023470024330949383/reviews?hl=en
23,McDonald's Cornellà Almeda,Cesar Martin,No Review,5,21,https://www.google.com/maps/contrib/111207847129917448895/reviews?hl=en
24,McDonald's Cornellà Almeda,alicia garcia bentin,No Review,4,21,https://www.google.com/maps/contrib/107810765712179411351/reviews?hl=en
25,McDonald's Cornellà Almeda,monica checa,No Review,5,21,https://www.google.com/maps/contrib/115636488337546243638/reviews?hl=en
26,McDonald's Cornellà Almeda,Pau Montesinos,No Review,5,21,https://www.google.com/maps/contrib/108756875670811846664/reviews?hl=en
27,McDonald's Cornellà Almeda,Marc Castro,Todo bien,5,21,https://www.google.com/maps/contrib/112663452709299874335/reviews?hl=en
28,McDonald's Cornellà Almeda,Raul Animalista,No Review,4,21,https://www.google.com/maps/contrib/113988125653675125758/reviews?hl=en
29,McDonald's Cornellà Almeda,Gabriel Camacho Alvarez,"Lentisimos en el mc auto, 2 coches y llevo esperando 10 minutos, de risa",1,30,https://www.google.com/maps/contrib/112792986464586868409/reviews?hl=en
30,McDonald's Cornellà Almeda,Juan G,No Review,4,30,https://www.google.com/maps/contrib/110079201334437439339/reviews?hl=en
31,McDonald's Cornellà Almeda,alice viamonte,"Mi sitio cerca de casa, siempre se come rico, caliente y sin tanta gente.",5,30,https://www.google.com/maps/contrib/102362671115337258362/reviews?hl=en
32,McDonald's Cornellà Almeda,juanjo bq,No Review,3,30,https://www.google.com/maps/contrib/102883121813901952483/reviews?hl=en
33,McDonald's Cornellà Almeda,Cristian Boldurescu Ghiaur,No Review,4,30,https://www.google.com/maps/contrib/102870164977175646766/reviews?hl=en
34,McDonald's Cornellà Almeda,Juan Miguel Montero Alvarez,No Review,4,30,https://www.google.com/maps/contrib/106406726737864897138/reviews?hl=en
35,McDonald's Cornellà Almeda,Adriuxi 1,No Review,4,30,https://www.google.com/maps/contrib/109525939289200322615/reviews?hl=en
36,McDonald's Cornellà Almeda,Jesus Fernandez,No Review,2,30,https://www.google.com/maps/contrib/101239947212358762072/reviews?hl=en
37,McDonald's Cornellà Almeda,Daniel Vazquez Varela,"Para empezar,  un pedido se tardo un monton... luego hubo un error con una hamburguesa y pedi el favor de que me hicieran el cambio ya que se equivoco la maquina, igualmente no me hicieron el cambio, tuve que comprar otra... servicio bastante deficiente, la manera de hablar a un cliente bastante deficiente tambien...",1,30,https://www.google.com/maps/contrib/100064695512249663964/reviews?hl=en
38,McDonald's Cornellà Almeda,Javier Quirantes,No Review,4,30,https://www.google.com/maps/contrib/102092914590642917402/reviews?hl=en
39,McDonald's Cornellà Almeda,Angel Miguel Gomez,No Review,4,30,https://www.google.com/maps/contrib/109674012482115587823/reviews?hl=en
40,McDonald's Cornellà Almeda,Ferran Soriano,No Review,3,30,https://www.google.com/maps/contrib/117095855354095385626/reviews?hl=en
41,McDonald's Cornellà Almeda,moratalla aguilera,No Review,4,30,https://www.google.com/maps/contrib/107234910978619883269/reviews?hl=en
