,restaurant,username,review,rating,daysago,linktoreview
0,McDonald's Cornellà Splau,Carme Garcia,"Comida rapida y buena (es comida rapida, que parece que hay gente que lo olvida). El servicio agradable y eficiente.",5,0.04027777777777778,https://www.google.com/maps/contrib/109493022892253995243/reviews?hl=en
1,McDonald's Cornellà Splau,Ramon Vazquez,"Es McDonald's, ya sabes lo que hay.",5,0.2916666666666667,https://www.google.com/maps/contrib/101527834213286289159/reviews?hl=en
2,McDonald's Cornellà Splau,Diego Melo (Tabby 15),"Se tardan DEMASIADO, y encima se estresan con los clientes al punto de responderles a veces mal, (no les culpo, hay muy poco personal) pero el tema de pedidos es la verdad MUY nefasto, se tardan demasiado para cosas muy simples y la gran ...",1,30.0,https://www.google.com/maps/contrib/109259890356595326396/reviews?hl=en
3,McDonald's Cornellà Splau,Hana Xnt19,The worst McDonald's I have ever seen.,1,30.0,https://www.google.com/maps/contrib/118437852417675904328/reviews?hl=en
4,McDonald's Cornellà Splau,sah fakir,Servicio penoso! 1 hora para un simple Happy meal y un helado...,1,30.0,https://www.google.com/maps/contrib/106223184435854054989/reviews?hl=en
5,McDonald's Cornellà Splau,Montse Molina,Excelente!!! No he encontrado un McDonald's con un trato y servicio tan bueno y asi se lo he comentado a su encargada Virginia al marchar. ...,5,30.0,https://www.google.com/maps/contrib/115274854521113052517/reviews?hl=en
6,McDonald's Cornellà Splau,J S,"La atencion de Chelo ha sido fabulosa, muy agradable en el trato. Mas destacable aun teniendo en cuenta las caracteristicas de un servicio de comida rapida.",5,30.0,https://www.google.com/maps/contrib/103101883894240908683/reviews?hl=en
7,McDonald's Cornellà Splau,diego espinosa,"Realmente falta GERENCIA en este sitio: es claro que no estan preparados para servir el volumen de ordenes que reciben. Simplemente, si solo puedes atender el negocio con poca gente, retirate y deja que otro haga el trabajo. Nada en este negocio sirve...",1,30.0,https://www.google.com/maps/contrib/100531293058399534155/reviews?hl=en
8,McDonald's Cornellà Splau,TAMARA DERAS,No Review,5,30.0,https://www.google.com/maps/contrib/104412451516832924355/reviews?hl=en
9,McDonald's Cornellà Splau,ingrid deras,No Review,5,30.0,https://www.google.com/maps/contrib/107747710319681533397/reviews?hl=en
10,McDonald's Cornellà Splau,Jose Luis Diaz,Cerrado antes de la hora establecida,1,30.0,https://www.google.com/maps/contrib/105902693583043878850/reviews?hl=en
11,McDonald's Cornellà Splau,Lluis Munoz Alvarez,Pone que cierra a la 1:00 pero a las 0:10 esta cerrado.,1,30.0,https://www.google.com/maps/contrib/112048884215213236378/reviews?hl=en
12,McDonald's Cornellà Splau,Esther Garcia,No Review,5,30.0,https://www.google.com/maps/contrib/105572534769126870538/reviews?hl=en
13,McDonald's Cornellà Splau,Roc Altet Vidal,Llevamos mas de una hora y no siquiera pone que estan elaborando nuestro pedido.,2,30.0,https://www.google.com/maps/contrib/103803332448656619716/reviews?hl=en
14,McDonald's Cornellà Splau,Aurora MV,"Llevamos mas de una hora esperando nuestro pedido, nos han traido dos veces uno equivocado. El peor Mc Donalds que he pisado",1,30.0,https://www.google.com/maps/contrib/116760959315084836074/reviews?hl=en
15,McDonald's Cornellà Splau,Laia Murillo Farres,No Review,1,30.0,https://www.google.com/maps/contrib/108685740467206868041/reviews?hl=en
16,McDonald's Cornellà Splau,Margarita Els Monjos,No Review,5,30.0,https://www.google.com/maps/contrib/100751227473059872780/reviews?hl=en
17,McDonald's Cornellà Splau,Francisco Gonzalez Espinosa,No Review,5,30.0,https://www.google.com/maps/contrib/106845644042071853780/reviews?hl=en
18,McDonald's Cornellà Splau,Pilar Martin,Se esta muy tranquilo y hay mucho aparcamiento .el personal muy atento,3,30.0,https://www.google.com/maps/contrib/104869410959944547656/reviews?hl=en
19,McDonald's Cornellà Splau,CTF MIOS,"El encargado del MacDonalds Splau Cornella bellisima persona, muy amable y muy buena persona ayudando a los clientes",5,30.0,https://www.google.com/maps/contrib/105918648635188015029/reviews?hl=en
20,McDonald's Cornellà Splau,Jose Gutierrez,No Review,4,60.0,https://www.google.com/maps/contrib/116231711736859239289/reviews?hl=en
21,McDonald's Cornellà Splau,Daysi Taveras Cuello,No Review,5,60.0,https://www.google.com/maps/contrib/100878388905050819327/reviews?hl=en
22,McDonald's Cornellà Splau,gemma,25 minutos para que te traigan una hamburguesa... Y encima se habian olvidado de hacerla cuando hemos ido a preguntar que pasaba,1,60.0,https://www.google.com/maps/contrib/102538942646277931518/reviews?hl=en
23,McDonald's Cornellà Splau,Carlos Lopez,No Review,1,60.0,https://www.google.com/maps/contrib/105011549725257590338/reviews?hl=en
24,McDonald's Cornellà Splau,Silvia David,No Review,5,60.0,https://www.google.com/maps/contrib/115828009591023955557/reviews?hl=en
25,McDonald's Cornellà Splau,Aleix Gregorio Pascual,No Review,4,60.0,https://www.google.com/maps/contrib/115224967652348451252/reviews?hl=en
26,McDonald's Cornellà Splau,jose ortiz,No Review,2,60.0,https://www.google.com/maps/contrib/108091956703342743925/reviews?hl=en
27,McDonald's Cornellà Splau,Armand Creus,No Review,5,90.0,https://www.google.com/maps/contrib/100993447206902418087/reviews?hl=en
28,McDonald's Cornellà Splau,German Del Pino Oliva,Nos ha atendido Chelo y ha sido un amor. Gracias!!?,5,90.0,https://www.google.com/maps/contrib/109754481840106317941/reviews?hl=en
29,McDonald's Cornellà Splau,DAVID REDON VINAS,No Review,3,90.0,https://www.google.com/maps/contrib/110216162457751274261/reviews?hl=en
30,McDonald's Cornellà Splau,Neus Casas,"Mal, encima de tardar mucho ni una triste hamburguesa la saben hacer bien",3,90.0,https://www.google.com/maps/contrib/102388259177309046185/reviews?hl=en
31,McDonald's Cornellà Splau,xavi blanquez,Simplemente te saca de un apuro.,3,90.0,https://www.google.com/maps/contrib/114184109001564649145/reviews?hl=en
32,McDonald's Cornellà Splau,Laura Diez Dominguez,No Review,4,90.0,https://www.google.com/maps/contrib/114045263695007408558/reviews?hl=en
33,McDonald's Cornellà Splau,Rasivan GanJahman,No Review,2,90.0,https://www.google.com/maps/contrib/115746666363913121588/reviews?hl=en
34,McDonald's Cornellà Splau,Paola Diaz,"De los MC Donald's que hemos ido en Barcelona este es el que menos nos ha gustado, muy deficiente y pocas ganas de mejorar en cuanto a la atencion. Un trabajador de la caja muy poco amable y encargado o responble ni idea de trato al cliente, pasan totalmente.",1,90.0,https://www.google.com/maps/contrib/109233443401176829024/reviews?hl=en
35,McDonald's Cornellà Splau,karina redondo,"Todo bien la verdad, la que cobra a tenido una equivocacion no se trata de equivocarse por que cual quier persona se puede equivocar, lo peor es que se esta como cachodeando en nuestro cara y como riendose y cuando le estamos hablando del ...",3,90.0,https://www.google.com/maps/contrib/109871362520151678892/reviews?hl=en
36,McDonald's Cornellà Splau,Noelia Sosa,No Review,4,90.0,https://www.google.com/maps/contrib/115434347220007331205/reviews?hl=en
37,McDonald's Cornellà Splau,Jose Maria Mirallas Sentelles,No Review,1,90.0,https://www.google.com/maps/contrib/101786275598181728514/reviews?hl=en
38,McDonald's Cornellà Splau,Lola,No esta mal.,3,90.0,https://www.google.com/maps/contrib/107023456055221332556/reviews?hl=en
39,McDonald's Cornellà Splau,Mari Carmen Galvez Manzanares,No Review,5,90.0,https://www.google.com/maps/contrib/100629778223093070721/reviews?hl=en
40,McDonald's Cornellà Splau,Nora Escofet,"Comimos despues del cine. Sitio limpio y agradable, siendo conciente que es un centro comercial",5,90.0,https://www.google.com/maps/contrib/101172453980140240013/reviews?hl=en
41,McDonald's Cornellà Splau,jose morao,No Review,4,90.0,https://www.google.com/maps/contrib/101525509302917360055/reviews?hl=en
42,McDonald's Cornellà Splau,Adrian Mendez,Un McDonald's mas,4,120.0,https://www.google.com/maps/contrib/100454328508997538230/reviews?hl=en
43,McDonald's Cornellà Splau,Jose Manuel Labrador Rozas,"Perfecto , un servicio de 10 y una atencion del personal magnifica en especial de Bryan , que se desvive por satisfacer al cliente",5,120.0,https://www.google.com/maps/contrib/104219425494211507699/reviews?hl=en
44,McDonald's Cornellà Splau,Sonia Gonzalez Gonzalez,No Review,1,120.0,https://www.google.com/maps/contrib/118090107371031752274/reviews?hl=en
45,McDonald's Cornellà Splau,Jose Luis - Heilig,"Local correcto con terraza.

La terraza estaba bastante sucia, por restos que han dejado otros usuarios. ...",3,120.0,https://www.google.com/maps/contrib/105684923945072753879/reviews?hl=en
46,McDonald's Cornellà Splau,Daniel Seisdedos,Que decir. Solo se puede calificar el emplazamiento. Depende del dia de la semana. Pero el finde que siempre esta lleno es mucho estres comer ai.,3,120.0,https://www.google.com/maps/contrib/112866496947564688170/reviews?hl=en
47,McDonald's Cornellà Splau,Xavier pena de la Torre,Fas food... Sin mas,1,120.0,https://www.google.com/maps/contrib/114559176111097600037/reviews?hl=en
48,McDonald's Cornellà Splau,Jefferson Pena,La atencion de Chelo ha sido genial una senora muy atenta y amable gracias,5,120.0,https://www.google.com/maps/contrib/101622819766187009449/reviews?hl=en
49,McDonald's Cornellà Splau,L. glez,"La comida bien, como casi cualquiera de la cadena, las mesas estaban muchas sucias asi que si hubiera un poco de mejora en eso creo que mejoraria mas.",3,120.0,https://www.google.com/maps/contrib/116687124100460413256/reviews?hl=en
50,McDonald's Cornellà Splau,Pauli Campi,McDonald's inside Comercial Splau,3,120.0,https://www.google.com/maps/contrib/102896692146112894115/reviews?hl=en
51,McDonald's Cornellà Splau,Freddy Lopez reyes,MC Donald de siempre pero la atencion de los empleados es muy buena,5,120.0,https://www.google.com/maps/contrib/113280494550846773522/reviews?hl=en
52,McDonald's Cornellà Splau,Omar Dahchouri Ahbari,No Review,5,120.0,https://www.google.com/maps/contrib/114585177755390417060/reviews?hl=en
53,McDonald's Cornellà Splau,Mayra Gonzalez o,No Review,5,120.0,https://www.google.com/maps/contrib/101169073998610702596/reviews?hl=en
54,McDonald's Cornellà Splau,Leszek Kowalski,No Review,2,120.0,https://www.google.com/maps/contrib/112842246331246844703/reviews?hl=en
55,McDonald's Cornellà Splau,Isabel Rodriguez,No Review,5,120.0,https://www.google.com/maps/contrib/109468329526135034628/reviews?hl=en
56,McDonald's Cornellà Splau,Junior Silva,No Review,4,120.0,https://www.google.com/maps/contrib/114973016484059443414/reviews?hl=en
57,McDonald's Cornellà Splau,Pepi Perez,"He observado,que en los MacDonalds, estan los lavabos muy limpios, asi da gusto entrar",2,150.0,https://www.google.com/maps/contrib/115901411271754011456/reviews?hl=en
58,McDonald's Cornellà Splau,Laura Thompson,"Muchisimas Gracias al excelente servicio al cliente que Chelo nos ofrecio !! Desde recibirnos  con una sonrisa hasta ayuda a traer la comida a la mesa.
Que Senora tan amable , sin duda la mejor experiencia que haya tenido en ...",5,150.0,https://www.google.com/maps/contrib/102956185630326050281/reviews?hl=en
59,McDonald's Cornellà Splau,Mireia Sanchez,"Nos ha encantado el trato cercano, amable y carinoso en concreto de una de las camareras llamada Chelo, muchisimas gracias por el trato.",5,150.0,https://www.google.com/maps/contrib/109768016232940823844/reviews?hl=en
60,McDonald's Cornellà Splau,Julia Coral,"Nunca antes nos habian atendido tan bien.
Chelo es increible, super carinosa y atenta en todo momento.
Tanto es asi que hemos ido a avisar al encargado por que algo asi es digo de agradecer",5,150.0,https://www.google.com/maps/contrib/109817440947625188091/reviews?hl=en
61,McDonald's Cornellà Splau,Marta Guerrero Garcia,"Encantadora Chelo mejor servicio de Mc'Donals encontrado.
Gracias",5,150.0,https://www.google.com/maps/contrib/115235548705220639664/reviews?hl=en
62,McDonald's Cornellà Splau,Carlos Gilabert,"El empleado llamado Pol es muy servicial y muy amable, siempre en mi equipo",5,150.0,https://www.google.com/maps/contrib/109344174045956012164/reviews?hl=en
63,McDonald's Cornellà Splau,Alex Serrano,"Las trabajadoras unas bordes, mal trato al cliente cuando pides un cambio en el pedido. Lo pides porfavor por que eres intolerante y encima te dicen que no te lo van a cambiar de malas formas. La hoja de reclamaciones ni me la dieron. No vengan sale mas a cuenta ir al antiguo McDonald's a un Km de este.",1,150.0,https://www.google.com/maps/contrib/117313277514557129607/reviews?hl=en
64,McDonald's Cornellà Splau,Alex Diaz Olivella,"personal 10/10, comida 10/10, todo 10/10",5,150.0,https://www.google.com/maps/contrib/100236604848296241806/reviews?hl=en
65,McDonald's Cornellà Splau,Fran Moreno,No Review,4,150.0,https://www.google.com/maps/contrib/114001385361873903817/reviews?hl=en
66,McDonald's Cornellà Splau,Niku Brezu,Ok,5,180.0,https://www.google.com/maps/contrib/112768181669546626643/reviews?hl=en
67,McDonald's Cornellà Splau,vanessa marquez,Mui bueno,5,180.0,https://www.google.com/maps/contrib/101873821559817111241/reviews?hl=en
