,restaurant,username,review,rating,daysago,linktoreview
0,McDonald's Cunit,Antonia Soler Lopez,Rapido,4,0.125,https://www.google.com/maps/contrib/116058304935702694766/reviews?hl=en
1,McDonald's Cunit,Oscar Repetto Espinar,No Review,5,1.0,https://www.google.com/maps/contrib/101567281575638463077/reviews?hl=en
2,McDonald's Cunit,Pumpink,No Review,3,1.0,https://www.google.com/maps/contrib/112862992624311951097/reviews?hl=en
3,McDonald's Cunit,VJB,Muuuyy lentos...,1,2.0,https://www.google.com/maps/contrib/110922739797660838827/reviews?hl=en
4,McDonald's Cunit,Lovush Academy,"Poor quality of burger.
No veggies. Just a bun and meat.
The place is nice. Spacy, clean.
The service friendly.",2,2.0,https://www.google.com/maps/contrib/109549510759729485104/reviews?hl=en
5,McDonald's Cunit,Noemi Domenech,Very helpful and friendly. Small parking lot,3,3.0,https://www.google.com/maps/contrib/101646612752523814904/reviews?hl=en
6,McDonald's Cunit,barbara gorbea,No Review,5,5.0,https://www.google.com/maps/contrib/105452497479415162495/reviews?hl=en
7,McDonald's Cunit,LGV Canta,No Review,2,7.0,https://www.google.com/maps/contrib/117691553415507840069/reviews?hl=en
8,McDonald's Cunit,LU FM,No Review,5,7.0,https://www.google.com/maps/contrib/106554485241406747393/reviews?hl=en
9,McDonald's Cunit,Angela Buena,Un diez para sus empleados.,4,7.0,https://www.google.com/maps/contrib/117609112358108464735/reviews?hl=en
10,McDonald's Cunit,Luly Alamo,No Review,5,7.0,https://www.google.com/maps/contrib/103656193865303873977/reviews?hl=en
11,McDonald's Cunit,Thierry ODET,No Review,4,14.0,https://www.google.com/maps/contrib/107379238337878919795/reviews?hl=en
12,McDonald's Cunit,Anna Kutsenko,No Review,5,14.0,https://www.google.com/maps/contrib/113038835571603309054/reviews?hl=en
13,McDonald's Cunit,Jesus Medina T.,No Review,2,14.0,https://www.google.com/maps/contrib/104120003426289689261/reviews?hl=en
14,McDonald's Cunit,Manuel Perez,No Review,3,21.0,https://www.google.com/maps/contrib/106717068680709754094/reviews?hl=en
15,McDonald's Cunit,Jordi Cadelo,No Review,4,28.0,https://www.google.com/maps/contrib/109113236721504325450/reviews?hl=en
16,McDonald's Cunit,Adryan,No Review,5,28.0,https://www.google.com/maps/contrib/116645552660998970141/reviews?hl=en
17,McDonald's Cunit,Al,No Review,5,30.0,https://www.google.com/maps/contrib/114782905049138210751/reviews?hl=en
18,McDonald's Cunit,Karim Karim,No Review,5,30.0,https://www.google.com/maps/contrib/103793596964895566789/reviews?hl=en
19,McDonald's Cunit,Enrique Miranda Tua,Me gusto mucho volveremos otro dia,5,30.0,https://www.google.com/maps/contrib/113511676505747474212/reviews?hl=en
20,McDonald's Cunit,Toni Gomez Lopez,No Review,5,30.0,https://www.google.com/maps/contrib/102808000692224723421/reviews?hl=en
21,McDonald's Cunit,Raul Raneea,No Review,5,30.0,https://www.google.com/maps/contrib/102954686796876697954/reviews?hl=en
22,McDonald's Cunit,Mo Jose San Benito Barba,No Review,5,30.0,https://www.google.com/maps/contrib/103303546006426213439/reviews?hl=en
23,McDonald's Cunit,Andrea Egea Carrillo,No Review,5,30.0,https://www.google.com/maps/contrib/101415262866242617750/reviews?hl=en
24,McDonald's Cunit,juanito bandolero,No Review,4,30.0,https://www.google.com/maps/contrib/113690047419007958516/reviews?hl=en
