,restaurant,username,review,rating,daysago,linktoreview
0,McDonald's Gavà Barnasud,Sergio Villanueva,Lo de siempre,1,2,https://www.google.com/maps/contrib/109960626555145005807/reviews?hl=en
1,McDonald's Gavà Barnasud,Pedro Lavin,3 coches = 40 minutos en el McAuto,1,2,https://www.google.com/maps/contrib/104181887142952270315/reviews?hl=en
2,McDonald's Gavà Barnasud,Toni Cornejo,No Review,5,3,https://www.google.com/maps/contrib/112057602059625346132/reviews?hl=en
3,McDonald's Gavà Barnasud,can muss,"Lo siento no tengo mucho que comentar,
No me gusta el sistema y no pienso convertirme en cliente.",3,7,https://www.google.com/maps/contrib/102166541938517581855/reviews?hl=en
4,McDonald's Gavà Barnasud,chris martin,No Review,5,7,https://www.google.com/maps/contrib/100820849875171056376/reviews?hl=en
5,McDonald's Gavà Barnasud,Teresa Murillo,No Review,5,14,https://www.google.com/maps/contrib/101727261734754041497/reviews?hl=en
6,McDonald's Gavà Barnasud,JORDI ROMEU i PALOP,"The McDonald's in the Barnasud Shopping Centre, with all the franchise's own and typical products and services.",5,21,https://www.google.com/maps/contrib/103181164912048740931/reviews?hl=en
7,McDonald's Gavà Barnasud,CRISMOGICREA,Ideal para ir con ninos,5,21,https://www.google.com/maps/contrib/106033636411294274856/reviews?hl=en
8,McDonald's Gavà Barnasud,Kingjan456,Fast and good service,5,30,https://www.google.com/maps/contrib/116683148003778147194/reviews?hl=en
9,McDonald's Gavà Barnasud,emilia prieto gil,No Review,5,30,https://www.google.com/maps/contrib/113974522857129208380/reviews?hl=en
10,McDonald's Gavà Barnasud,Oscar Grane,"Very, very slow service and no people waiting.
I did not remember this price.
I'm sorry but I'm sticking with BK.",3,30,https://www.google.com/maps/contrib/116531506938565702385/reviews?hl=en
11,McDonald's Gavà Barnasud,Jose Garcia,No Review,5,30,https://www.google.com/maps/contrib/113281898950925471381/reviews?hl=en
12,McDonald's Gavà Barnasud,Esteban Jose Lopez,Lo esperado de un McDonalds lo mejor la ubicacion al lado del centro comercial,5,30,https://www.google.com/maps/contrib/114059535541224792281/reviews?hl=en
13,McDonald's Gavà Barnasud,Marga,"He puesto 3 estrellas en el servicio porque el chico del turno de tarde del viernes dia 29/09/23 que sirve a las mesas fue muy atento y cordial pero una de las chicas ( parecia la encargada) la verdad es que deja bastante que desear, atendiendo de malas maneras, contestando mal y dejando parte de la comanda sin traer.",1,30,https://www.google.com/maps/contrib/103226202649146511326/reviews?hl=en
14,McDonald's Gavà Barnasud,Anthony jose Perez Gutierrez,No Review,5,30,https://www.google.com/maps/contrib/113131284974517846183/reviews?hl=en
