,restaurant,username,review,rating,daysago,linktoreview
0,McDonald's Igualada,Nicolas Aunes,"En igualada. Repleto de gente, sobre todo juventud.",3,2,https://www.google.com/maps/contrib/117200916928563000577/reviews?hl=en
1,McDonald's Igualada,Judit Camins,Tardan 4 horas pa una hamburguesa y la musica de los anos 80,5,2,https://www.google.com/maps/contrib/108745279203485964264/reviews?hl=en
2,McDonald's Igualada,Catherine Lopez,No Review,5,3,https://www.google.com/maps/contrib/110529085284971148541/reviews?hl=en
3,McDonald's Igualada,Elisabet Sanchez Maximo,No Review,3,4,https://www.google.com/maps/contrib/112447884531798364617/reviews?hl=en
4,McDonald's Igualada,Manel Blanco Domingo,No Review,3,6,https://www.google.com/maps/contrib/106485492126015288331/reviews?hl=en
5,McDonald's Igualada,Gas A fondo,No Review,3,6,https://www.google.com/maps/contrib/114019922248745845869/reviews?hl=en
6,McDonald's Igualada,Alexandra Fernandez Donner,La comida de mcdonalds ha bajado de calidad y el servicio fue muy lento.,3,7,https://www.google.com/maps/contrib/109262050706059045039/reviews?hl=en
7,McDonald's Igualada,Jose Marsal colen,El Mac auto muy lento te puedes morir esperando,2,7,https://www.google.com/maps/contrib/106322813359714728436/reviews?hl=en
8,McDonald's Igualada,Miguel Ramos,Lento muy lento y ademas siempre se dejan algo en este caso toda la bebida,1,7,https://www.google.com/maps/contrib/110581200103166141154/reviews?hl=en
9,McDonald's Igualada,Jessica Mendoza Lores,No Review,4,7,https://www.google.com/maps/contrib/111179940795564559509/reviews?hl=en
10,McDonald's Igualada,Esther S. G.,"Han tardado mas de 30 en servir nuestro pedido porque estaba hecho y lo tenian en el mostrador enfriandose.
No sabemos si es que estaban faltos de personal o habia demasiada gente pero nunca habian tardado tanto en servirnos y eso que hemos ido a bastantes restaurantes de esta cadena.",1,7,https://www.google.com/maps/contrib/101168964534702657494/reviews?hl=en
11,McDonald's Igualada,Irfan Gondal,Muy bueno rapido KEBAB ,5,14,https://www.google.com/maps/contrib/104742214241555520678/reviews?hl=en
12,McDonald's Igualada,Arelorth,No Review,5,14,https://www.google.com/maps/contrib/104453709864193256613/reviews?hl=en
