,restaurant,username,review,rating,daysago,linktoreview
0,McDonald's Viladecans,Daniel navarro iglesias,No Review,5,0.25,https://www.google.com/maps/contrib/114510921845134624481/reviews?hl=en
1,McDonald's Viladecans,Antonio Canadas Campoy,luisa,5,2.0,https://www.google.com/maps/contrib/116328435962321096071/reviews?hl=en
2,McDonald's Viladecans,Maria Serrano Gomez,No Review,5,4.0,https://www.google.com/maps/contrib/102836056455011206953/reviews?hl=en
3,McDonald's Viladecans,Bienvenida Sanchez,No Review,5,6.0,https://www.google.com/maps/contrib/116288304667945278469/reviews?hl=en
4,McDonald's Viladecans,Jose Miguel,No Review,3,7.0,https://www.google.com/maps/contrib/112655568198667760127/reviews?hl=en
5,McDonald's Viladecans,Jim Wallace,"Typical mcdonalds,  unfortunately everything in spanish and staff not very helpful....",3,21.0,https://www.google.com/maps/contrib/113286887464641321667/reviews?hl=en
6,McDonald's Viladecans,Viktor Eremeichuk,No Review,5,21.0,https://www.google.com/maps/contrib/100684473717699116952/reviews?hl=en
7,McDonald's Viladecans,Esther Gallardo,"Me veo obligada a cambiar mi resena ,esto es una verguenza ,ya que han subido los precios podian atender con correccion ,yo siempre pido para llevar asi que no veo lo que llevo hasta llegar a casa y no vivo cerca. Hoy 22 de octubre de 2023 me han estafado de lo lindo en el pedido me ha faltado una tarta de manzana ,me han faltado los dos sobres y bolsas para patatas de sour crean que e pedido especialmente me.ha faltado el kepchup ,e pagado casi 28 euros y me han faltado todas estas cosas estoy muy descontenta y voy a reclamar en cuanto vuelva a ir ,es una verguenza porque eso yo lo e pagado",4,21.0,https://www.google.com/maps/contrib/111332551432618788058/reviews?hl=en
8,McDonald's Viladecans,Juanjo Garcia Garcia,No Review,4,28.0,https://www.google.com/maps/contrib/110170542829981046950/reviews?hl=en
9,McDonald's Viladecans,ametlle1992,"Horrible! 40 minutos esperando desde que pagamos hasta q no trajeron la comida... Preguntamos a una trabajadora si pasaba algo con nuestro pedido ya que hacia media hora que esperabamos y nos dijo que era normal 
Como puede ser normal en un mc donalds esperar tres cuartos de hora hasta q te traigan la comida?",1,30.0,https://www.google.com/maps/contrib/118133979473198908505/reviews?hl=en
10,McDonald's Viladecans,Rocio Perez Garcia,No Review,5,30.0,https://www.google.com/maps/contrib/115979265716501025329/reviews?hl=en
11,McDonald's Viladecans,Karol Arrufat,No Review,5,30.0,https://www.google.com/maps/contrib/105800160261348595087/reviews?hl=en
12,McDonald's Viladecans,Javi Fernandez,No Review,1,30.0,https://www.google.com/maps/contrib/107387118151592670561/reviews?hl=en
13,McDonald's Viladecans,Desiree Luna Cuellar,"Suelen ser bastante rapidos, el restaurante esta siempre bastante limpio, lo unico malo es que muchas veces tienen varias pantallas desactivadas y se forman muchas colas para pedir.",4,30.0,https://www.google.com/maps/contrib/105047495280779563030/reviews?hl=en
