,restaurant,username,review,rating,daysago,linktoreview
0,McDonald's Vilafranca del Penedés,Yoan Toledo,No Review,3,2,https://www.google.com/maps/contrib/101354155264785022344/reviews?hl=en
1,McDonald's Vilafranca del Penedés,Rafael Luna cascales,No Review,5,3,https://www.google.com/maps/contrib/103695770038105683889/reviews?hl=en
2,McDonald's Vilafranca del Penedés,Alba Farigola,No Review,5,5,https://www.google.com/maps/contrib/114123382887633146981/reviews?hl=en
3,McDonald's Vilafranca del Penedés,Gabriel Ruiz Lopez,No Review,1,5,https://www.google.com/maps/contrib/104087295413228203574/reviews?hl=en
4,McDonald's Vilafranca del Penedés,Esther Adsera Escoda,The burgers look like they're made of plastic,2,7,https://www.google.com/maps/contrib/105348373236054647004/reviews?hl=en
5,McDonald's Vilafranca del Penedés,Albert Zamora,Es un McDonald's mas. No tiene nada especial ni diferente a otros,4,7,https://www.google.com/maps/contrib/100143753575348300325/reviews?hl=en
6,McDonald's Vilafranca del Penedés,Alex Vacarean,No Review,5,7,https://www.google.com/maps/contrib/116665753659693059475/reviews?hl=en
7,McDonald's Vilafranca del Penedés,Saray Plans Galan,No Review,4,14,https://www.google.com/maps/contrib/102505455027267103419/reviews?hl=en
8,McDonald's Vilafranca del Penedés,Ramon Durban,No Review,4,14,https://www.google.com/maps/contrib/104738553912866874002/reviews?hl=en
9,McDonald's Vilafranca del Penedés,Blas Ramirez,Un buen lugar para comer rapido personal amable y agradable,5,14,https://www.google.com/maps/contrib/112632354718311756361/reviews?hl=en
10,McDonald's Vilafranca del Penedés,Isabel Navarro,No Review,4,14,https://www.google.com/maps/contrib/109215929195233841124/reviews?hl=en
11,McDonald's Vilafranca del Penedés,JORDI NOGUEIRA,"Ah adecuado, sin mas",4,14,https://www.google.com/maps/contrib/107330538342887231064/reviews?hl=en
12,McDonald's Vilafranca del Penedés,Jose Antonio Llopis,No Review,2,21,https://www.google.com/maps/contrib/111501205874414141451/reviews?hl=en
13,McDonald's Vilafranca del Penedés,David Navarro,No Review,3,21,https://www.google.com/maps/contrib/115369215536650329403/reviews?hl=en
14,McDonald's Vilafranca del Penedés,titusokavango okavango2014,No Review,4,21,https://www.google.com/maps/contrib/101292700867440176627/reviews?hl=en
15,McDonald's Vilafranca del Penedés,Joel Romero,No Review,3,21,https://www.google.com/maps/contrib/101854900036334776147/reviews?hl=en
16,McDonald's Vilafranca del Penedés,Fran Mos,No Review,5,21,https://www.google.com/maps/contrib/117568820853852962445/reviews?hl=en
17,McDonald's Vilafranca del Penedés,Jaume Aragones,"A Macdonald, like all of them. well",5,28,https://www.google.com/maps/contrib/118359629470724576571/reviews?hl=en
18,McDonald's Vilafranca del Penedés,Marc-Andre Wolff,No Review,3,28,https://www.google.com/maps/contrib/104304578021439084345/reviews?hl=en
19,McDonald's Vilafranca del Penedés,Franco Bragagnolo,"Bastante limpio y ordenado, un poco abarrotados los contenedores de residuos",5,28,https://www.google.com/maps/contrib/104903646886107680794/reviews?hl=en
20,McDonald's Vilafranca del Penedés,Javier Pliego,No Review,3,28,https://www.google.com/maps/contrib/106979720987136458555/reviews?hl=en
21,McDonald's Vilafranca del Penedés,Michael Bischoff,The entire menu was cold and not a single crumb of salt on the fries ,1,30,https://www.google.com/maps/contrib/109713294101016190744/reviews?hl=en
22,McDonald's Vilafranca del Penedés,Goldelen 18,No Review,4,30,https://www.google.com/maps/contrib/105115237314075074917/reviews?hl=en
23,McDonald's Vilafranca del Penedés,ANACLETO AGENTE,"They always speak to you in Spanish at the beginning, it's a shame.",2,30,https://www.google.com/maps/contrib/106304438313374480634/reviews?hl=en
24,McDonald's Vilafranca del Penedés,carles roca,To get out of step,4,30,https://www.google.com/maps/contrib/114236149179302414629/reviews?hl=en
25,McDonald's Vilafranca del Penedés,Annarita Ferrario,No Review,3,30,https://www.google.com/maps/contrib/113824013090387841622/reviews?hl=en
26,McDonald's Vilafranca del Penedés,Antonio,"Me gusta como ha mejorado este macdonal, que te lleven la comida a la mesa es todo un acierto, da la sensacion que estas en un restaurante.",5,30,https://www.google.com/maps/contrib/101338957604025520533/reviews?hl=en
27,McDonald's Vilafranca del Penedés,Eva Horta,No Review,4,30,https://www.google.com/maps/contrib/107016597514616295345/reviews?hl=en
