,restaurant,username,review,rating,daysago,linktoreview
0,McDonald's Vilanova i la Geltrú,FH J,Asi te sirven la cerveza para llevar. ?Es que no les ensenan a tirar una cerveza y quitar la espuma?,1,0.875,https://www.google.com/maps/contrib/102746360548594618148/reviews?hl=en
1,McDonald's Vilanova i la Geltrú,Enliang Di,No Review,5,1.0,https://www.google.com/maps/contrib/110873624205588090786/reviews?hl=en
2,McDonald's Vilanova i la Geltrú,Isaito0180,"Tardan mas de 25 min solo estandi 3 personas en cola, me tiran eyos!  La cocacola y tengo q pagar otra! Me levanto a pedir el helado y me limpian la mesa aun con comida de la nina.increible mal servidos",1,2.0,https://www.google.com/maps/contrib/110353351944283205858/reviews?hl=en
3,McDonald's Vilanova i la Geltrú,Anton Morhunenko (MorgunenCo),Thanks to the staff for keeping things clean.  But the visitors are very careless,5,3.0,https://www.google.com/maps/contrib/108798368861610018870/reviews?hl=en
4,McDonald's Vilanova i la Geltrú,Berok Graffiti Barcelona,No Review,3,5.0,https://www.google.com/maps/contrib/113697653754332840866/reviews?hl=en
5,McDonald's Vilanova i la Geltrú,Ruth Rojas,No Review,5,5.0,https://www.google.com/maps/contrib/105331840459573884886/reviews?hl=en
6,McDonald's Vilanova i la Geltrú,d420c J,No Review,5,7.0,https://www.google.com/maps/contrib/105897858853117555757/reviews?hl=en
7,McDonald's Vilanova i la Geltrú,Martin Montero,Realmente me sorprendio la calidad de las hamburguesas que hemos comido. El personal es muy atento y tienen todo bien protegido para evitar contagios del Covid19,4,7.0,https://www.google.com/maps/contrib/112159844018612964317/reviews?hl=en
8,McDonald's Vilanova i la Geltrú,Carmen Ortegw,No Review,1,7.0,https://www.google.com/maps/contrib/108546734780191777509/reviews?hl=en
9,McDonald's Vilanova i la Geltrú,Jhel 29,No Review,3,7.0,https://www.google.com/maps/contrib/107215243195928587020/reviews?hl=en
10,McDonald's Vilanova i la Geltrú,WILLIAM ALMEA,Todo en su sitio excelente atencion,5,7.0,https://www.google.com/maps/contrib/102537797871876858996/reviews?hl=en
11,McDonald's Vilanova i la Geltrú,pilar martos,No Review,5,7.0,https://www.google.com/maps/contrib/114490846554274347415/reviews?hl=en
12,McDonald's Vilanova i la Geltrú,M Carme Franquet Carballo,"Deje de ir al Burguer auto porque eran muy lentos sirviendo, fui a MC Donalds y me fui sin nada esperando me ensenase como van las maquinas ya que sino en mostrador no servian, y hoy he vuelto al MC auto y mucho mas lentos que en el Burguer, ya no vuelvo mas!!! Ah y han subido mucho los precios....",2,7.0,https://www.google.com/maps/contrib/115856143930310913376/reviews?hl=en
13,McDonald's Vilanova i la Geltrú,Eva Guillen,"Comida de muy mala calidad. El personal todo nuevo y sin experiencia. Suciedad en las unas del personal.
Nada recomendable",1,7.0,https://www.google.com/maps/contrib/105448643303237468927/reviews?hl=en
14,McDonald's Vilanova i la Geltrú,NESTOR RAUL TAPIAS SEGUANE,No Review,5,7.0,https://www.google.com/maps/contrib/115588977190643783060/reviews?hl=en
15,McDonald's Vilanova i la Geltrú,Hajiba Bekour,No Review,3,7.0,https://www.google.com/maps/contrib/103869135539843935378/reviews?hl=en
16,McDonald's Vilanova i la Geltrú,Tona Boronat,"Place well located near the slopes, ideal when you go to competitions. Adequate service even though it was very full.",4,14.0,https://www.google.com/maps/contrib/110984342534731917099/reviews?hl=en
17,McDonald's Vilanova i la Geltrú,Soledad Arcas,No Review,5,21.0,https://www.google.com/maps/contrib/111567949672286935977/reviews?hl=en
18,McDonald's Vilanova i la Geltrú,carivello Barrios,Rapido como deberia de ser ahora an mejorado tema de hamburguesas mas recien echas alguna vez se nota que llevan rato echas pero mejorado. Mac auto rapido tambien lo que siempre siempre se dejan cosas siempre y da mucho coraje nunca te puedes ir tranquilo  las 3 estrellas por el mac auto si no pondria 5,3,30.0,https://www.google.com/maps/contrib/101987735793436089221/reviews?hl=en
19,McDonald's Vilanova i la Geltrú,Raul Paratcha,No Review,3,30.0,https://www.google.com/maps/contrib/101017976297563044411/reviews?hl=en
20,McDonald's Vilanova i la Geltrú,Joan R,No Review,5,30.0,https://www.google.com/maps/contrib/113979495311216859862/reviews?hl=en
21,McDonald's Vilanova i la Geltrú,Juan Ojeda,Para ser tan grande ne cesita mas maquinas expendedoras.pero por el personal perfecto y el sistema de que te lo lleven a la mesa me parece muy bueno,5,30.0,https://www.google.com/maps/contrib/105727840590335400832/reviews?hl=en
22,McDonald's Vilanova i la Geltrú,Jordi,"No se si ha cambiado de estructura interna en el ultimo mes pero siempre voy al mcauto y es un autentico desastre con 4 coches delante estas casi 1 hora esperando, antes en 15 minutos estabas fuera. Y ayer para colmo voy a recoger mi pedido myorder y me dicen que les ha desaparecido del sistema. Otra hora la gente hasta salia de los coches y se acercaban a la ventanilla a increpar al los trabajadores. Solo hay una chica cogiendo pedidos y los tiene que preparar ella que me daba hasta lastima la pobre hacia lo que podia. Otro dia entre dentro y ese mismo caos. No se si han cambiado de encargados gerentes o lo que sea pero volver atras ya que asi mi familia.",1,30.0,https://www.google.com/maps/contrib/117098636386203475628/reviews?hl=en
23,McDonald's Vilanova i la Geltrú,Jordi Comajoan,No Review,4,30.0,https://www.google.com/maps/contrib/101604013991302838660/reviews?hl=en
24,McDonald's Vilanova i la Geltrú,anna agusti molina,No Review,3,30.0,https://www.google.com/maps/contrib/106187870876385100478/reviews?hl=en
25,McDonald's Vilanova i la Geltrú,Susana Arrogante,"Ayer 7 octubre sobre 23.20 mucha gente en restaurante por lo q cogimos pedido por macauto, una espera de 1h en cola para q al recoger nuestro pedido despues de pagar 18EUR y encima el pedido mal ,me faltaban patatas de un menu y las bolitas de pollo ,sumando q ni ketchup me metieron una verguenza y encima no es la primera vez q me pasa ,me pensare si volver a ir pq para pagar y encima ni me lleve lo q pago ,es de verguenza",2,30.0,https://www.google.com/maps/contrib/106564252843203910495/reviews?hl=en
26,McDonald's Vilanova i la Geltrú,Diana Cuervo norena,"Hemos ido sobre las 21h a comer despues de casi 25 min de esperar fuimos a mirar que pasaba y resulta que habian perdido mi pedido, pido hablar con la encargada y de mul mal humor en vez de disculparse me dice que se ha perdido por error de ellos y que es lo que hay.... una pena que vengas con amabilidad y con ganas de comer algo rapido y salgas de alli sin ganas de nada. Cambiar el personal de alli es lo que tienen que hacer.",1,30.0,https://www.google.com/maps/contrib/112574345377665209342/reviews?hl=en
27,McDonald's Vilanova i la Geltrú,Valmore Orihuela,No Review,5,30.0,https://www.google.com/maps/contrib/103480620163170194507/reviews?hl=en
28,McDonald's Vilanova i la Geltrú,isabella herran cuervo,No Review,1,30.0,https://www.google.com/maps/contrib/108409314738790226585/reviews?hl=en
29,McDonald's Vilanova i la Geltrú,Gabi Salvat,"Da pena la presentacion de las hamburguesas.
Entiendo que es comida rapida y prefabricada,pero cada vez que abro la caja parece que mi hamburguesa se ha caido por un precipicio.",1,30.0,https://www.google.com/maps/contrib/109850523270865467299/reviews?hl=en
30,McDonald's Vilanova i la Geltrú,Carlos Martin,,4,30.0,https://www.google.com/maps/contrib/116684738599464609405/reviews?hl=en
31,McDonald's Vilanova i la Geltrú,Javier Carrasco,"Slow food en toda regla. Pedido de 1 menu Mcpollo, a las 11h de un sabado, y casi media hora de espera. Habia una mesa esperando y 3 pedidos para recoger en barra, un desastre de organizacion.",1,30.0,https://www.google.com/maps/contrib/108314489223239493769/reviews?hl=en
32,McDonald's Vilanova i la Geltrú,Oliver y David,"Llegamos a las 22:25 para realizar un pedido en Mcauto despues de estar esperando en la cola a las 23:05 sale una empleada y de muy malas maneras nos dice que esta cerrado, ordenes de su encargada, 40 minutos esperando para que te echen con mala educacion y sin ningun tipo de explicacion a nuestra larga espera, no volveremos .",1,30.0,https://www.google.com/maps/contrib/104471991995983529182/reviews?hl=en
33,McDonald's Vilanova i la Geltrú,Karina Palanco,No Review,5,30.0,https://www.google.com/maps/contrib/112595198224722899049/reviews?hl=en
34,McDonald's Vilanova i la Geltrú,Monica Montoro,"Tuvimos que esperar mas de 30 minutos, manifestamos la demora del pedido y presentamos  el tiquet  , a los 5 minutos nos dicen que han perdido el pedido .....sin palabras !!!!",2,30.0,https://www.google.com/maps/contrib/117722688853641736032/reviews?hl=en
35,McDonald's Vilanova i la Geltrú,IVANOVIX,El ambiente esta bien los empleados son amables,5,30.0,https://www.google.com/maps/contrib/111515684960954115785/reviews?hl=en
36,McDonald's Vilanova i la Geltrú,Angela Buena,"Bueno, que decir cuando vas con una nina de cinco anos que a ella lo que le interesa es jugar alli...",4,30.0,https://www.google.com/maps/contrib/117609112358108464735/reviews?hl=en
37,McDonald's Vilanova i la Geltrú,Diego PiVi,No Review,5,30.0,https://www.google.com/maps/contrib/109346697169911522756/reviews?hl=en
38,McDonald's Vilanova i la Geltrú,Jesi Villanueva,No Review,4,30.0,https://www.google.com/maps/contrib/113424978834037823148/reviews?hl=en
39,McDonald's Vilanova i la Geltrú,Dori Rueda Delgado,"The potatoes were frozen.
The same hamburger.",1,30.0,https://www.google.com/maps/contrib/116377827317365099728/reviews?hl=en
40,McDonald's Vilanova i la Geltrú,Eduard Mier,Disaster.,1,30.0,https://www.google.com/maps/contrib/106026025723090389311/reviews?hl=en
41,McDonald's Vilanova i la Geltrú,maria teresa latorre sola,"Buen servicio, al ser mayores nos cuesta pedir con la pantalla de pedidos y una Srta. Muy amable nos lo hizo tambien nos lo llevaron a la mesa y la comida estaba muy buena. Muy recomendable. Muchas gracias por ser tan amables con la gente mayor.",4,30.0,https://www.google.com/maps/contrib/100167308709247147845/reviews?hl=en
42,McDonald's Vilanova i la Geltrú,Daniela Gallego,No Review,4,30.0,https://www.google.com/maps/contrib/103130936677807458374/reviews?hl=en
43,McDonald's Vilanova i la Geltrú,Lorena,No Review,4,30.0,https://www.google.com/maps/contrib/115167526754330997059/reviews?hl=en
44,McDonald's Vilanova i la Geltrú,Dani Guiot,"Mal servicio,  todo muy sucio",1,30.0,https://www.google.com/maps/contrib/101447358522877316962/reviews?hl=en
45,McDonald's Vilanova i la Geltrú,ismael catedra,No Review,4,30.0,https://www.google.com/maps/contrib/109891989032559224904/reviews?hl=en
46,McDonald's Vilanova i la Geltrú,Patricia RRom,"Que lastima! El servicio esta completamente descuidado!!! Para un helado... estuve esperando 30minutos. Hoy he ido por el mcauto y me han echo aparcar y me esperan otros tantos minutos de espera. Lo de comida rapida aqui se esfumo, en cualquier otro restaurante de la zona te sirven mucho mas rapido. Si tienes prisa, no vayas a este MCDonals!",1,30.0,https://www.google.com/maps/contrib/109627875820155277210/reviews?hl=en
47,McDonald's Vilanova i la Geltrú,Sonia Garciaharo,"Ayer dia 23/9/23 pedido a las 20:18 pedido 115, hamburguesas con olor a tabaco , asqueroso mi hija de 5 anos lo detecto antes de comerselas y yo tambien, fuy para alli se lo comente a la del mccauto y sale una tal jessica negandome eso, despues de hacer 20 minutos cola ya era el colmo  cuando toda la comida apestaba a tabaco en el cambio de turno tubo k ser, no hice una revlamacion pero era para llamar a sanidad, me repitieron el pedido entero, pero ya no voy a volver mas soy de vilanova y jamas volvere. No ir comida mala",1,30.0,https://www.google.com/maps/contrib/110756803028117092868/reviews?hl=en
48,McDonald's Vilanova i la Geltrú,Vicent Alemany,"No es de lo mejor para comer, pero a mis nietos les encanta. Ademas, va bien en alguna ocasion para salir del paso.",3,30.0,https://www.google.com/maps/contrib/111334271818435104028/reviews?hl=en
49,McDonald's Vilanova i la Geltrú,Jesus Abel Martinez Garcia,"Pedido para llevar y sorpresa!!!no esta mi doble cuarto de libra,cuando el personal esta preparando pedidos para llevar, no se puede distraer con otras demandas,gracias!",3,30.0,https://www.google.com/maps/contrib/113149059305397860612/reviews?hl=en
50,McDonald's Vilanova i la Geltrú,Jose Miguel Torres,"Cada vez q voy la comida es peor, no especificamente a este establecimiento. El servicio es lo unico bueno, y no siempre debido a las rotaciones de personal.",2,60.0,https://www.google.com/maps/contrib/117152370368528737215/reviews?hl=en
51,McDonald's Vilanova i la Geltrú,Felipe Llano,No Review,4,60.0,https://www.google.com/maps/contrib/103577387414552068515/reviews?hl=en
52,McDonald's Vilanova i la Geltrú,the progamer,"Muy lentos, no tienen los productos que publicitan en este caso nuguets picantes, personal agobiado",1,60.0,https://www.google.com/maps/contrib/105183034672838868059/reviews?hl=en
53,McDonald's Vilanova i la Geltrú,Maika Mitjans Naval,No Review,5,60.0,https://www.google.com/maps/contrib/117822383678515631027/reviews?hl=en
54,McDonald's Vilanova i la Geltrú,Ali Ahmad,Son Ladrones con experiencia,1,60.0,https://www.google.com/maps/contrib/115454499714578145441/reviews?hl=en
55,McDonald's Vilanova i la Geltrú,Hakima Charaf,No Review,4,60.0,https://www.google.com/maps/contrib/108101461017719668376/reviews?hl=en
56,McDonald's Vilanova i la Geltrú,Valentin Nicoara,No Review,2,60.0,https://www.google.com/maps/contrib/113788644130076790422/reviews?hl=en
57,McDonald's Vilanova i la Geltrú,Ana M Martinez,No Review,5,60.0,https://www.google.com/maps/contrib/111463351193991834642/reviews?hl=en
58,McDonald's Vilanova i la Geltrú,Juan Esteban Cuellar Camacho,Se demoran con el pedido,3,60.0,https://www.google.com/maps/contrib/105644428661541845945/reviews?hl=en
59,McDonald's Vilanova i la Geltrú,Leboyli A,"A ver. Si es que mas tonto no puedo ser. No he escrito una resena en mi vida y de verdad que el McDonald's de Vilanova i la Geltru es la peor experiencia posible. Mira que pido y pido y pido glovos con el McDonald's y SIEMPRE SIN FALTA falla alguna cosa. SIEMPRE. SIN EXCEPCIONES. Piensatelo no 2, sino 3 veces antes de pedir McDonald's por glovo porque son una panda de buitres agarraos porque sino no me explico que falte algo SIEMPRE que pido. Si no es una salsa es una carne, si no es unas patatas es la bebida y seguimos para bingo. Estoy tan hasta las pelotas. Pero tanto. Bueno, pues eso. Si podeis, id a comer al burger king o a cualquier otro (hay un sitio de smash super bueno en la plaza de la peixe) pero a McDonald's ni os molesteis, os ahorro el dolor de cabeza",1,60.0,https://www.google.com/maps/contrib/104728330179493189575/reviews?hl=en
60,McDonald's Vilanova i la Geltrú,Toufik Boubekeur,Average toilet hygiene,3,60.0,https://www.google.com/maps/contrib/117475684238212154585/reviews?hl=en
61,McDonald's Vilanova i la Geltrú,David Boix,"Fui el domingo por la manana despues de un torneo de 24 horas, sin dormir, cansado, siguiendo las senales de mac auto 24 horas y me comi un mojon. Llegue alli y tenian una cadena puesta con una senal de prohibido. Lo peor es que en el maps, seguia indicando 24h... Espero que arregleis ese estropicio",1,60.0,https://www.google.com/maps/contrib/107373885950102217085/reviews?hl=en
62,McDonald's Vilanova i la Geltrú,Ana Casanova Suarez,"Es el Macdonals con el servicio mas lento que he visitado. Siendo un restaurante de comida rapida, llama bastante la atencion y mas cuando el local estaba casi vacio y apenas habia  coches en el Mac auto.",3,60.0,https://www.google.com/maps/contrib/105414241119821431411/reviews?hl=en
63,McDonald's Vilanova i la Geltrú,Saadet Bahar,No Review,5,60.0,https://www.google.com/maps/contrib/113390351746510839304/reviews?hl=en
64,McDonald's Vilanova i la Geltrú,Viviana leandro albasini,No Review,4,60.0,https://www.google.com/maps/contrib/106654276424011465204/reviews?hl=en
