,chronological,restaurant,username,review,rating,daysago,linktoreview,rest_id
0,0,McDonald's Vilanova i la Geltrú,FH J,Asi te sirven la cerveza para llevar. ?Es que no les ensenan a tirar una cerveza y quitar la espuma?,1,0.875,https://www.google.com/maps/contrib/102746360548594618148/reviews?hl=en,1
1,1,McDonald's Vilanova i la Geltrú,Enliang Di,No Review,5,1,https://www.google.com/maps/contrib/110873624205588090786/reviews?hl=en,1
2,2,McDonald's Vilanova i la Geltrú,Isaito0180,"Tardan mas de 25 min solo estandi 3 personas en cola, me tiran eyos!  La cocacola y tengo q pagar otra! Me levanto a pedir el helado y me limpian la mesa aun con comida de la nina.increible mal servidos",1,2,https://www.google.com/maps/contrib/110353351944283205858/reviews?hl=en,1
3,3,McDonald's Vilanova i la Geltrú,Anton Morhunenko (MorgunenCo),Thanks to the staff for keeping things clean.  But the visitors are very careless,5,3,https://www.google.com/maps/contrib/108798368861610018870/reviews?hl=en,1
4,4,McDonald's Vilanova i la Geltrú,Berok Graffiti Barcelona,No Review,3,5,https://www.google.com/maps/contrib/113697653754332840866/reviews?hl=en,1
5,5,McDonald's Vilanova i la Geltrú,Ruth Rojas,No Review,5,5,https://www.google.com/maps/contrib/105331840459573884886/reviews?hl=en,1
6,6,McDonald's Vilanova i la Geltrú,d420c J,No Review,5,7,https://www.google.com/maps/contrib/105897858853117555757/reviews?hl=en,1
7,7,McDonald's Vilanova i la Geltrú,Martin Montero,Realmente me sorprendio la calidad de las hamburguesas que hemos comido. El personal es muy atento y tienen todo bien protegido para evitar contagios del Covid19,4,7,https://www.google.com/maps/contrib/112159844018612964317/reviews?hl=en,1
8,8,McDonald's Vilanova i la Geltrú,Carmen Ortegw,No Review,1,7,https://www.google.com/maps/contrib/108546734780191777509/reviews?hl=en,1
9,9,McDonald's Vilanova i la Geltrú,Jhel 29,No Review,3,7,https://www.google.com/maps/contrib/107215243195928587020/reviews?hl=en,1
10,10,McDonald's Vilanova i la Geltrú,WILLIAM ALMEA,Todo en su sitio excelente atencion,5,7,https://www.google.com/maps/contrib/102537797871876858996/reviews?hl=en,1
11,11,McDonald's Vilanova i la Geltrú,pilar martos,No Review,5,7,https://www.google.com/maps/contrib/114490846554274347415/reviews?hl=en,1
12,12,McDonald's Vilanova i la Geltrú,M Carme Franquet Carballo,"Deje de ir al Burguer auto porque eran muy lentos sirviendo, fui a MC Donalds y me fui sin nada esperando me ensenase como van las maquinas ya que sino en mostrador no servian, y hoy he vuelto al MC auto y mucho mas lentos que en el Burguer, ya no vuelvo mas!!! Ah y han subido mucho los precios....",2,7,https://www.google.com/maps/contrib/115856143930310913376/reviews?hl=en,1
13,13,McDonald's Vilanova i la Geltrú,Eva Guillen,"Comida de muy mala calidad. El personal todo nuevo y sin experiencia. Suciedad en las unas del personal.
Nada recomendable",1,7,https://www.google.com/maps/contrib/105448643303237468927/reviews?hl=en,1
14,14,McDonald's Vilanova i la Geltrú,NESTOR RAUL TAPIAS SEGUANE,No Review,5,7,https://www.google.com/maps/contrib/115588977190643783060/reviews?hl=en,1
15,15,McDonald's Vilanova i la Geltrú,Hajiba Bekour,No Review,3,7,https://www.google.com/maps/contrib/103869135539843935378/reviews?hl=en,1
16,16,McDonald's Vilanova i la Geltrú,Tona Boronat,"Place well located near the slopes, ideal when you go to competitions. Adequate service even though it was very full.",4,14,https://www.google.com/maps/contrib/110984342534731917099/reviews?hl=en,1
17,17,McDonald's Vilanova i la Geltrú,Soledad Arcas,No Review,5,21,https://www.google.com/maps/contrib/111567949672286935977/reviews?hl=en,1
18,18,McDonald's Vilanova i la Geltrú,carivello Barrios,Rapido como deberia de ser ahora an mejorado tema de hamburguesas mas recien echas alguna vez se nota que llevan rato echas pero mejorado. Mac auto rapido tambien lo que siempre siempre se dejan cosas siempre y da mucho coraje nunca te puedes ir tranquilo  las 3 estrellas por el mac auto si no pondria 5,3,30,https://www.google.com/maps/contrib/101987735793436089221/reviews?hl=en,1
19,19,McDonald's Vilanova i la Geltrú,Raul Paratcha,No Review,3,30,https://www.google.com/maps/contrib/101017976297563044411/reviews?hl=en,1
20,20,McDonald's Vilanova i la Geltrú,Joan R,No Review,5,30,https://www.google.com/maps/contrib/113979495311216859862/reviews?hl=en,1
21,21,McDonald's Vilanova i la Geltrú,Juan Ojeda,Para ser tan grande ne cesita mas maquinas expendedoras.pero por el personal perfecto y el sistema de que te lo lleven a la mesa me parece muy bueno,5,30,https://www.google.com/maps/contrib/105727840590335400832/reviews?hl=en,1
22,22,McDonald's Vilanova i la Geltrú,Jordi,"No se si ha cambiado de estructura interna en el ultimo mes pero siempre voy al mcauto y es un autentico desastre con 4 coches delante estas casi 1 hora esperando, antes en 15 minutos estabas fuera. Y ayer para colmo voy a recoger mi pedido myorder y me dicen que les ha desaparecido del sistema. Otra hora la gente hasta salia de los coches y se acercaban a la ventanilla a increpar al los trabajadores. Solo hay una chica cogiendo pedidos y los tiene que preparar ella que me daba hasta lastima la pobre hacia lo que podia. Otro dia entre dentro y ese mismo caos. No se si han cambiado de encargados gerentes o lo que sea pero volver atras ya que asi mi familia.",1,30,https://www.google.com/maps/contrib/117098636386203475628/reviews?hl=en,1
23,23,McDonald's Vilanova i la Geltrú,Jordi Comajoan,No Review,4,30,https://www.google.com/maps/contrib/101604013991302838660/reviews?hl=en,1
24,24,McDonald's Vilanova i la Geltrú,anna agusti molina,No Review,3,30,https://www.google.com/maps/contrib/106187870876385100478/reviews?hl=en,1
25,25,McDonald's Vilanova i la Geltrú,Susana Arrogante,"Ayer 7 octubre sobre 23.20 mucha gente en restaurante por lo q cogimos pedido por macauto, una espera de 1h en cola para q al recoger nuestro pedido despues de pagar 18EUR y encima el pedido mal ,me faltaban patatas de un menu y las bolitas de pollo ,sumando q ni ketchup me metieron una verguenza y encima no es la primera vez q me pasa ,me pensare si volver a ir pq para pagar y encima ni me lleve lo q pago ,es de verguenza",2,30,https://www.google.com/maps/contrib/106564252843203910495/reviews?hl=en,1
26,26,McDonald's Vilanova i la Geltrú,Diana Cuervo norena,"Hemos ido sobre las 21h a comer despues de casi 25 min de esperar fuimos a mirar que pasaba y resulta que habian perdido mi pedido, pido hablar con la encargada y de mul mal humor en vez de disculparse me dice que se ha perdido por error de ellos y que es lo que hay.... una pena que vengas con amabilidad y con ganas de comer algo rapido y salgas de alli sin ganas de nada. Cambiar el personal de alli es lo que tienen que hacer.",1,30,https://www.google.com/maps/contrib/112574345377665209342/reviews?hl=en,1
27,27,McDonald's Vilanova i la Geltrú,Valmore Orihuela,No Review,5,30,https://www.google.com/maps/contrib/103480620163170194507/reviews?hl=en,1
28,28,McDonald's Vilanova i la Geltrú,isabella herran cuervo,No Review,1,30,https://www.google.com/maps/contrib/108409314738790226585/reviews?hl=en,1
29,29,McDonald's Vilanova i la Geltrú,Gabi Salvat,"Da pena la presentacion de las hamburguesas.
Entiendo que es comida rapida y prefabricada,pero cada vez que abro la caja parece que mi hamburguesa se ha caido por un precipicio.",1,30,https://www.google.com/maps/contrib/109850523270865467299/reviews?hl=en,1
30,30,McDonald's Vilanova i la Geltrú,Carlos Martin,,4,30,https://www.google.com/maps/contrib/116684738599464609405/reviews?hl=en,1
31,31,McDonald's Vilanova i la Geltrú,Javier Carrasco,"Slow food en toda regla. Pedido de 1 menu Mcpollo, a las 11h de un sabado, y casi media hora de espera. Habia una mesa esperando y 3 pedidos para recoger en barra, un desastre de organizacion.",1,30,https://www.google.com/maps/contrib/108314489223239493769/reviews?hl=en,1
32,32,McDonald's Vilanova i la Geltrú,Oliver y David,"Llegamos a las 22:25 para realizar un pedido en Mcauto despues de estar esperando en la cola a las 23:05 sale una empleada y de muy malas maneras nos dice que esta cerrado, ordenes de su encargada, 40 minutos esperando para que te echen con mala educacion y sin ningun tipo de explicacion a nuestra larga espera, no volveremos .",1,30,https://www.google.com/maps/contrib/104471991995983529182/reviews?hl=en,1
33,33,McDonald's Vilanova i la Geltrú,Karina Palanco,No Review,5,30,https://www.google.com/maps/contrib/112595198224722899049/reviews?hl=en,1
34,34,McDonald's Vilanova i la Geltrú,Monica Montoro,"Tuvimos que esperar mas de 30 minutos, manifestamos la demora del pedido y presentamos  el tiquet  , a los 5 minutos nos dicen que han perdido el pedido .....sin palabras !!!!",2,30,https://www.google.com/maps/contrib/117722688853641736032/reviews?hl=en,1
