,restaurant,username,review,rating,daysago,linktoreview
0,Sinhumo Sevilla Nervión Calle de Morales,Carmen M,No Review,5,6,https://www.google.com/maps/contrib/116528038509258163920/reviews?hl=en
1,Sinhumo Sevilla Nervión Calle de Morales,Emilio Feijoo,No Review,5,21,https://www.google.com/maps/contrib/110190093060154448086/reviews?hl=en
2,Sinhumo Sevilla Nervión Calle de Morales,John G.,Gran experiencia. Buen trato y buenos consejos en el uso de tu vaper,5,30,https://www.google.com/maps/contrib/109165613342356625999/reviews?hl=en
3,Sinhumo Sevilla Nervión Calle de Morales,Laura Guareno,"Somos clientes habituales,los chicos son mui amables y serviciales ,lo malo que siempre hay mucha gente.",5,30,https://www.google.com/maps/contrib/117840811732612059613/reviews?hl=en
4,Sinhumo Sevilla Nervión Calle de Morales,Fran Contreras,No Review,5,60,https://www.google.com/maps/contrib/111781809465145956883/reviews?hl=en
5,Sinhumo Sevilla Nervión Calle de Morales,Rocio Borino Rosa,"Hemos ido a Sinhumo Nervion a por nuestro primer vaper y Borja nos ha atendido de manera increible.
Le agradecemos muchisimo todas las explicaciones que nos ha dado respecto al dispositivo y sus cuidados.
Tambien volver a darle las gracias por el protector del cristal de Batman y el liquido.
Todo muy recomendable y un gustazo. Volveremos a por mas cositas y a seguir aprendiendo.",5,60,https://www.google.com/maps/contrib/106605427706969986026/reviews?hl=en
6,Sinhumo Sevilla Nervión Calle de Morales,Pedro Bonilla,Muy buen trato en sin humo nervion!!,5,60,https://www.google.com/maps/contrib/106736858151769864879/reviews?hl=en
7,Sinhumo Sevilla Nervión Calle de Morales,Jesus Mendez Torres,"Hoy he ido por primera vez para introducirme en el Vapeo. Destacar el trato y la profesionalidad de Borja , un chico de 10 . Magnifica atencion y buenos precios , sin duda volvere .",5,60,https://www.google.com/maps/contrib/116150791730057221207/reviews?hl=en
8,Sinhumo Sevilla Nervión Calle de Morales,israel garci gal,"Madre mia.....si tengo que valorar a esta empresa es por su calidad de los trabajadores... En serio, tenemos a Manuel y Lucas, son la leche!
Ademas de ayudarte en todo! Son muy amables y siempre con una sonrisa en la cara, cada vez que voy me siento en casa.

Y por empresa, variedad en todos los sentidos en liquidos, cacharretes.
Para mi es como mi lugar favorito del vapeo.",5,60,https://www.google.com/maps/contrib/104338924973590575448/reviews?hl=en
9,Sinhumo Sevilla Nervión Calle de Morales,Javier Sanchez,Muy bien atendido. Variedad de productos.,5,60,https://www.google.com/maps/contrib/102942322808799514786/reviews?hl=en
10,Sinhumo Sevilla Nervión Calle de Morales,Jose Pablo Rivero Gonzalez,Excelente servicio,5,90,https://www.google.com/maps/contrib/106244811741250768852/reviews?hl=en
11,Sinhumo Sevilla Nervión Calle de Morales,Sonia Arana polvillo,Espectacular atencion .,5,90,https://www.google.com/maps/contrib/103968276693064233732/reviews?hl=en
12,Sinhumo Sevilla Nervión Calle de Morales,guillermo villanueva roldan,"Teniendo 20 anos , me acerque al medio dia a comprar unas resistencias , porque tengo un vaper que compre ahi mismo hace 2 semanas , y por culpa mia se me olvido el dni que no me lo suelen pedir. Le pedi las resistencias y me dijo que necesitaba el dni , yo le dije que tenia una foto en el movil del dni pero no le valia,  tambien tenia cuenta de banco con nomina y todos mis datos entre ellos mi fecha de nacimiento y una foto y tampoco lo aceptas, foto del carnet y tampoco, y todo porque segun aparentaba ser pequeno.... Conclusion me hizo volverme a mi casa a por el dni que la verdad que es mi culpa por olvidarlo pero creo que podria haber aunque sea intentado mirar todas las formas que tenia de comprobar que era adulto ...",1,90,https://www.google.com/maps/contrib/110749078137629088706/reviews?hl=en
13,Sinhumo Sevilla Nervión Calle de Morales,Abraham Cava Morales,Trato excelente!! Un 10,5,90,https://www.google.com/maps/contrib/109039976402018629266/reviews?hl=en
