,restaurant,username,review,rating,daysago,linktoreview
0,burger king gava,Andres Peracho Alcoceba,De vez en cuando nos gusta ir.,3,0.08333333333333333,https://www.google.com/maps/contrib/110931977957698632139/reviews?hl=en
1,burger king gava,Titi Ayala,"Me atendio un chico llamado Fabricio, encantador, super educado  y amable , me ayudo respecto a que no podia acceder a la app y puede llevarme mi pedido tranquilamente, gracias.",5,0.7083333333333334,https://www.google.com/maps/contrib/106590972546702654803/reviews?hl=en
2,burger king gava,GLEN LCRX,Hamburguesas  con buenos precios. Quizas un poco pequenas pero son muy sabrosas.,5,1.0,https://www.google.com/maps/contrib/104011183687375421580/reviews?hl=en
3,burger king gava,Carlos Molina Garcia,No Review,2,1.0,https://www.google.com/maps/contrib/109879607378310780806/reviews?hl=en
4,burger king gava,Lorena Carvajal,Muy buena atencion y el burguer siempre esta bueno,5,1.0,https://www.google.com/maps/contrib/110602475609679784934/reviews?hl=en
5,burger king gava,Scarlett Espinales,Son los mejores,5,2.0,https://www.google.com/maps/contrib/105799063904149182629/reviews?hl=en
6,burger king gava,Carlos Quiroz,No Review,5,2.0,https://www.google.com/maps/contrib/117090116962426668813/reviews?hl=en
7,burger king gava,Oscar Vicent Chabrera,"El peor burguer king de mi vida, mi amigo y yo nos comimos las hamburguesas y vomitamos posteriormente los dos, dos dias con dolor de barriga y fatal. Deberian cerrarlo!",1,2.0,https://www.google.com/maps/contrib/107300382705718677810/reviews?hl=en
8,burger king gava,Carlos Gamero,No Review,5,3.0,https://www.google.com/maps/contrib/108366640358095553808/reviews?hl=en
9,burger king gava,Mary,servicio expcional.,5,4.0,https://www.google.com/maps/contrib/101322975848769193232/reviews?hl=en
10,burger king gava,Wendy Mac Serra,No Review,5,5.0,https://www.google.com/maps/contrib/104911899124081551541/reviews?hl=en
11,burger king gava,Felix Isasi,No Review,5,5.0,https://www.google.com/maps/contrib/103034711935120150773/reviews?hl=en
12,burger king gava,cesc arjonilla,No Review,5,6.0,https://www.google.com/maps/contrib/100816982108576367118/reviews?hl=en
13,burger king gava,johan alexis aguirre,"Buen servicio, por parte de Fabri, atento y servicial",5,6.0,https://www.google.com/maps/contrib/109673206605241957495/reviews?hl=en
14,burger king gava,Raul Palomino,Buen servicio y ambiente limpio,5,6.0,https://www.google.com/maps/contrib/117567773396220509578/reviews?hl=en
15,burger king gava,Toni Salinas,Atienden con amabilidad y buen servicio,5,6.0,https://www.google.com/maps/contrib/110575986888440377602/reviews?hl=en
16,burger king gava,laia Hernandez,"Muy buen servicio!, los empleados muy amables y la comida te la sirven rapida y con buena presentacion",5,6.0,https://www.google.com/maps/contrib/108890363383700393865/reviews?hl=en
17,burger king gava,moha barcelona,Jordi makina,5,6.0,https://www.google.com/maps/contrib/107048504110205013934/reviews?hl=en
18,burger king gava,Maite Alvarez,Comida excelente,4,6.0,https://www.google.com/maps/contrib/106110636231786604862/reviews?hl=en
19,burger king gava,Jorge Perez Hervas,Buen servicio,4,6.0,https://www.google.com/maps/contrib/108251726945178201381/reviews?hl=en
20,burger king gava,Cesar Estepa Montalvo,No Review,5,6.0,https://www.google.com/maps/contrib/105552993545303148583/reviews?hl=en
21,burger king gava,Prabhjot Singh,No Review,5,6.0,https://www.google.com/maps/contrib/111966303378719657186/reviews?hl=en
22,burger king gava,Javier Rogel Sanchez,No Review,3,6.0,https://www.google.com/maps/contrib/118427368864396093380/reviews?hl=en
23,burger king gava,Aroa Iglesias,No Review,5,6.0,https://www.google.com/maps/contrib/115588301484398919860/reviews?hl=en
24,burger king gava,Jordi Escoda,"Like all those of this kind... For a little more, you can go to places of much higher quality",1,7.0,https://www.google.com/maps/contrib/111463369766823416309/reviews?hl=en
25,burger king gava,Jordi,El Dobble whopper expectacular!,5,7.0,https://www.google.com/maps/contrib/108491741722403958320/reviews?hl=en
26,burger king gava,Veronica Fernandez,La comida muy buena y buen servicio,5,7.0,https://www.google.com/maps/contrib/101409654639129307151/reviews?hl=en
27,burger king gava,Sergio,Lugar amplio y buen personal,5,7.0,https://www.google.com/maps/contrib/103645908457399286442/reviews?hl=en
28,burger king gava,Elena Moreno,Todo bien,5,7.0,https://www.google.com/maps/contrib/103251489724667181677/reviews?hl=en
29,burger king gava,ana tarabini,"Fabricio me atendio muy bien, excelente empleado",5,7.0,https://www.google.com/maps/contrib/113586167335283972989/reviews?hl=en
30,burger king gava,COCINILLAS AL PODER,Todo muy bueno.,5,7.0,https://www.google.com/maps/contrib/105075360917180913024/reviews?hl=en
31,burger king gava,Juan carlos Fernandez-nieto,Han mejorado,5,7.0,https://www.google.com/maps/contrib/112675052926060061386/reviews?hl=en
32,burger king gava,Juan Bautista Gago Perez,No Review,3,7.0,https://www.google.com/maps/contrib/102924360095490601926/reviews?hl=en
33,burger king gava,Marti Leon,"Q buen servicio,se come bien , buen ambiente, me atendio muy bien Fabri",5,7.0,https://www.google.com/maps/contrib/106809966701769307534/reviews?hl=en
34,burger king gava,Josep Leon03,"Q buen servicio, todo limpio y comida buena , atencion increible el pedido llego rapidisimo , q bien atiende ese tal Fabri",5,7.0,https://www.google.com/maps/contrib/109517535545032997480/reviews?hl=en
35,burger king gava,Gricanellada Gomez,No Review,4,7.0,https://www.google.com/maps/contrib/105242132053551669655/reviews?hl=en
