,restaurant,username,review,rating,daysago,linktoreview
0,burger king igualada,Arnau Cribillers,"Buen servicio, sitio tranquilo.",4,0.08333333333333333,https://www.google.com/maps/contrib/114846495931606066615/reviews?hl=en
1,burger king igualada,esteban marquez caballero,No Review,3,1.0,https://www.google.com/maps/contrib/100178054885906643852/reviews?hl=en
2,burger king igualada,Jahir Flores,No me gusta ponen muy poca y son nuevas ni saben lo q hacen,2,3.0,https://www.google.com/maps/contrib/115796219475158717965/reviews?hl=en
3,burger king igualada,franyely salazar,Servicio de calidad y buen trato del personal,5,3.0,https://www.google.com/maps/contrib/107228444109049539652/reviews?hl=en
4,burger king igualada,Patricia Flores,No Review,5,3.0,https://www.google.com/maps/contrib/111129708534066191662/reviews?hl=en
5,burger king igualada,Paola Palacios Tenorio,No Review,5,3.0,https://www.google.com/maps/contrib/112893034150994738484/reviews?hl=en
6,burger king igualada,Gabriela Abalco,No Review,5,3.0,https://www.google.com/maps/contrib/111467965285316683583/reviews?hl=en
7,burger king igualada,Fernando Sanchez Freire,No Review,5,3.0,https://www.google.com/maps/contrib/118082301941154965757/reviews?hl=en
8,burger king igualada,jenkings guteater,No Review,5,3.0,https://www.google.com/maps/contrib/112688221420188522412/reviews?hl=en
9,burger king igualada,Yoyo Piki,No Review,5,3.0,https://www.google.com/maps/contrib/116476217099123684619/reviews?hl=en
10,burger king igualada,Dimitar Kirilov,No Review,5,3.0,https://www.google.com/maps/contrib/117708612366174889477/reviews?hl=en
11,burger king igualada,"Jose ""Jose"" Mendoza",No Review,5,3.0,https://www.google.com/maps/contrib/117993924390221456334/reviews?hl=en
12,burger king igualada,Mary,No Review,5,5.0,https://www.google.com/maps/contrib/111468831949401325542/reviews?hl=en
13,burger king igualada,newblackdiva CJ,No Review,5,5.0,https://www.google.com/maps/contrib/108494656243060366900/reviews?hl=en
14,burger king igualada,Toni Bermudez,No Review,4,5.0,https://www.google.com/maps/contrib/116478253543810119101/reviews?hl=en
15,burger king igualada,Hugo Perezoliva,No Review,5,5.0,https://www.google.com/maps/contrib/103898248278282273633/reviews?hl=en
16,burger king igualada,Hfjfj Bfbfbfh,No Review,5,5.0,https://www.google.com/maps/contrib/101527240373502622778/reviews?hl=en
