,restaurant,username,review,rating,daysago,linktoreview
0,burger king viladecans,Odilo Fernandez Campo,Mas lento no se puede ser,1,0.6666666666666666,https://www.google.com/maps/contrib/112965244306485346609/reviews?hl=en
1,burger king viladecans,Pilar Mora,People get desperate waiting to be served. You place the order and it takes a long time to prepare the order,1,0.6666666666666666,https://www.google.com/maps/contrib/114352224604794394620/reviews?hl=en
2,burger king viladecans,Dmbcn88160,"30 minutos para servir un menu para llevar, cuando me lo entregan falta la ensalada y me dicen que no viene ninguna ensalada, claro, en el tiket pone amanida... la hamburguesa? Juzguen ustedes por las imagenes...",1,0.7916666666666666,https://www.google.com/maps/contrib/108657648313498600741/reviews?hl=en
3,burger king viladecans,Carles Serrataco Pino,"Definition of fast food at home? Order at 2.05pm, lunch at 3.40pm!!! Tremendous! It arrived cold and luckily this time everything.",2,0.875,https://www.google.com/maps/contrib/111629043705587269827/reviews?hl=en
4,burger king viladecans,Lidia,"Si quieres esperar 25m para una hamburguesa cuando eres el unico cliente, los trabajadores dan vueltas por la cocina sin saber que hacer y ademas pierden tu ticket: este es tu sitio!",1,1.0,https://www.google.com/maps/contrib/104952092039370893517/reviews?hl=en
5,burger king viladecans,MAGI DALMAU,No Review,3,2.0,https://www.google.com/maps/contrib/114131324782992763596/reviews?hl=en
6,burger king viladecans,Oana Tudor,Todo muy bien. Rapidos.,5,2.0,https://www.google.com/maps/contrib/102847559940204139523/reviews?hl=en
7,burger king viladecans,Jordi Gasso sancho,Muy bien,5,3.0,https://www.google.com/maps/contrib/105218257468105462123/reviews?hl=en
8,burger king viladecans,DINA El Bakkali Bakkali,Buen servicio y rapido,5,4.0,https://www.google.com/maps/contrib/100759488138685093978/reviews?hl=en
9,burger king viladecans,Luis Suarez,No Review,5,4.0,https://www.google.com/maps/contrib/104913771175268153475/reviews?hl=en
10,burger king viladecans,Edita Tapias,"Super recomendado, excelente atencion por parte de Kevin, deliciosa la comida 10/10",5,5.0,https://www.google.com/maps/contrib/103224655964113088856/reviews?hl=en
11,burger king viladecans,Karito Pardo,Excelente atencion por parte de Kevin en la forma de atender explicito al explicar los menus,5,5.0,https://www.google.com/maps/contrib/110150916479847185769/reviews?hl=en
12,burger king viladecans,maria,Buen cafe,5,5.0,https://www.google.com/maps/contrib/109470808112690779279/reviews?hl=en
13,burger king viladecans,E S,No Review,4,7.0,https://www.google.com/maps/contrib/114441579147900963872/reviews?hl=en
14,burger king viladecans,Quentin Dupuy,Hemos esperado 15min...,1,7.0,https://www.google.com/maps/contrib/110016513839017857173/reviews?hl=en
15,burger king viladecans,Joaquin De Angelis,locsl muy limpio y muy burna experiencia la comida caliente,5,7.0,https://www.google.com/maps/contrib/103396201528487174491/reviews?hl=en
16,burger king viladecans,Nai Rhlm,"Local limpio , y buena atencion al cliente",5,7.0,https://www.google.com/maps/contrib/113640964092224854797/reviews?hl=en
17,burger king viladecans,olaya serrano martin,esta muy limpio y perfecto para hacer cumpleanos,5,7.0,https://www.google.com/maps/contrib/100004321302416015942/reviews?hl=en
18,burger king viladecans,EL HEIKER,No Review,5,7.0,https://www.google.com/maps/contrib/106779931518993496098/reviews?hl=en
19,burger king viladecans,Lucia Ana Godoy morte,No Review,5,7.0,https://www.google.com/maps/contrib/105044184240900176073/reviews?hl=en
20,burger king viladecans,Dani puig nieto,Buen servicio,4,7.0,https://www.google.com/maps/contrib/104986037705086031965/reviews?hl=en
21,burger king viladecans,Mariia Lopez,"El personal muy profesional, muy satisfecha con el trato ofrecido, gracias por el maravilloso helado",5,7.0,https://www.google.com/maps/contrib/106547562052363674012/reviews?hl=en
