,restaurant,username,review,rating,daysago,linktoreview
0,burger king vilafranca,ester garcia,No Review,2,0.7916666666666666,https://www.google.com/maps/contrib/118337212598502324441/reviews?hl=en
1,burger king vilafranca,David Martin,No Review,2,0.875,https://www.google.com/maps/contrib/106074388890839811041/reviews?hl=en
2,burger king vilafranca,Ainosqj Qj,No Review,3,6.0,https://www.google.com/maps/contrib/115858625983242802436/reviews?hl=en
3,burger king vilafranca,aleix gual marce,"Las ultimas 2 veces el pedido es un desastre... Pido una de pollo, me da vacuno.... Quito ingredientes, me los ponen... Me da mal el cambio...es un desastre de Burger king",1,6.0,https://www.google.com/maps/contrib/102998023102723944766/reviews?hl=en
4,burger king vilafranca,Abel Gonzalo QI,No Review,4,7.0,https://www.google.com/maps/contrib/105365711840456817815/reviews?hl=en
5,burger king vilafranca,Laia Plana Mendoza,Very slow service and very dirty toilets. The food as in all BK.,3,7.0,https://www.google.com/maps/contrib/117725582285319509285/reviews?hl=en
6,burger king vilafranca,Salvador RV,I love this place.,5,7.0,https://www.google.com/maps/contrib/110931848878867579929/reviews?hl=en
7,burger king vilafranca,LOLGAMES GAMES,Mala atencion,1,7.0,https://www.google.com/maps/contrib/114264366205847516621/reviews?hl=en
8,burger king vilafranca,Victor Castellanos Mateo,"Hoy e recibido un trato pesimo, la persona en caja no sabia cobrar, la que sabia, me dejo a medias por atender un coche por que son mas importantes que los clientes en el local. Tras 10 minutos de espera me fui sin comer.",1,7.0,https://www.google.com/maps/contrib/106377000606746567848/reviews?hl=en
9,burger king vilafranca,Marta Morcillo,"Pues promocionan hamburguesa de Angus.. y nada que ver, los banos sin jabon de manos y por ultimo moscas por doquier... por eso 2 estrellas.",2,7.0,https://www.google.com/maps/contrib/115798124731117894364/reviews?hl=en
10,burger king vilafranca,J. Carles Varon,No Review,4,7.0,https://www.google.com/maps/contrib/105478747723630516383/reviews?hl=en
11,burger king vilafranca,gabriel prunell juarez,"Lamentablemente,no tienen de nada,te lo cobran y no te lo sirven. No te dan servilletas,no hay papel de water en ninguno de los dos. Te cobran el postre,no te lo traen porque no kda y no te lo dicen. Coges un king jr.y no tienen juguete y ni te lo dicen. El peor burger King que he ido en mi vida,y tengo 40 anos. Bo volvere jamas",1,7.0,https://www.google.com/maps/contrib/106008589103918194541/reviews?hl=en
12,burger king vilafranca,pedro garcia,Personal muy atento,5,7.0,https://www.google.com/maps/contrib/100559845463513982115/reviews?hl=en
13,burger king vilafranca,Marc Le (MrcLp),Normalite,3,14.0,https://www.google.com/maps/contrib/114913359188734409428/reviews?hl=en
14,burger king vilafranca,Alain Tavard Dorado,No Review,5,14.0,https://www.google.com/maps/contrib/116305902158425436244/reviews?hl=en
15,burger king vilafranca,Pol Perez,No Review,5,14.0,https://www.google.com/maps/contrib/100960249693333835107/reviews?hl=en
16,burger king vilafranca,Anas,No Review,5,14.0,https://www.google.com/maps/contrib/110025904450568269012/reviews?hl=en
17,burger king vilafranca,Ruber ramirez,muy buen lugar para comer,5,14.0,https://www.google.com/maps/contrib/105910851474025140374/reviews?hl=en
18,burger king vilafranca,yahya ouakrim,Buen servicio me atendieron genial,5,14.0,https://www.google.com/maps/contrib/116892022638268666375/reviews?hl=en
19,burger king vilafranca,Pilar Del Olmo,"Pedimos un burger King huevo con doble de carne, para llevar porque estabamos a 1 hora de casa y queriamos comer al llegar. Nuestra sorpresa ,el doble de carne era solo uno. No pudimos hacer nada, eso si nos lo cobraron como doble.
Son pesimos. Deberian obligar a revisar los pedidos antes de la entrega.",2,14.0,https://www.google.com/maps/contrib/107377489206256250673/reviews?hl=en
20,burger king vilafranca,Volplex Official Records,No Review,3,14.0,https://www.google.com/maps/contrib/117428460389310166886/reviews?hl=en
21,burger king vilafranca,Kyle Perro Policia,"Ideal para una comida rapida. La ultima vez la musica extremadamente fuerte, esta vez mucho mejor.",5,14.0,https://www.google.com/maps/contrib/108991362989367736203/reviews?hl=en
22,burger king vilafranca,Yolanda carmona,No Review,2,21.0,https://www.google.com/maps/contrib/118319420979291864577/reviews?hl=en
23,burger king vilafranca,Nyx,No Review,5,21.0,https://www.google.com/maps/contrib/110027923924033171823/reviews?hl=en
24,burger king vilafranca,RAMON SANTACREU MERENCIANO,No Review,5,21.0,https://www.google.com/maps/contrib/109906211112871445682/reviews?hl=en
25,burger king vilafranca,Eric,No Review,4,21.0,https://www.google.com/maps/contrib/104836267807924466656/reviews?hl=en
26,burger king vilafranca,Manuel vasan63,No Review,5,21.0,https://www.google.com/maps/contrib/102173513993348092819/reviews?hl=en
27,burger king vilafranca,eliarte 2,"Un desastre ,el pan congelado no lo tostaron  la ensalada pasada y para colmo me dicen que no tienen aceite, no recomiendo ,no volvere",4,28.0,https://www.google.com/maps/contrib/111205548508861283085/reviews?hl=en
28,burger king vilafranca,Bruno Ayne Dura,No Review,4,28.0,https://www.google.com/maps/contrib/104504055758600552960/reviews?hl=en
29,burger king vilafranca,Cennhy Spinola,"Me han atendido muy bien. Utilice el lavabo y de verdad que de maravilla, super limpios y oliendo muy bien. Sigan asi",5,28.0,https://www.google.com/maps/contrib/111215444458620044319/reviews?hl=en
30,burger king vilafranca,Eduard Lozano,No Review,4,30.0,https://www.google.com/maps/contrib/118335873585592385102/reviews?hl=en
31,burger king vilafranca,Fredy Massone,No Review,5,30.0,https://www.google.com/maps/contrib/103333594857973492039/reviews?hl=en
32,burger king vilafranca,tasio tasio,"Muchas moscas dentro y fuera del local, en la parte exterior basura por los suelos.",2,30.0,https://www.google.com/maps/contrib/100709203419284480458/reviews?hl=en
33,burger king vilafranca,Alex Jakobsen,"This has to be the most lousy place to Eat i have ever visisted.

First of all, the place looks dirty.
The food Took 20 min to be cooked, even though the restaurant was almost empty.

The fries we Got at first tasted Old and cold. They had to replace it.
The hotwings was all dry. I think they have been in the heat all day.
The burger bread fell apart when toucing it.
My chesseburger was served with Two top breads, instead of a bottom bread.

Very Strange experience by all means.",1,30.0,https://www.google.com/maps/contrib/108833953247393076178/reviews?hl=en
34,burger king vilafranca,Sebastian Caruso,"La verdad, se junta un poco de gente y no funcionan. De 6 pantallas, solo funcionan 3 para tomar el pedido. En la caja, te ignoran para hacer un pedido. La hamburguesa fria, con largo tiempo esperando ser entregada. Sucio, desordenado. En fin, bajo la calidad horriblemente.
****************************************************************
Me encanta la respuesta de BK!!!! Me preguntan si baje la aplicacion!!!! jajajajaja!!!! No deberia ir al restaurant, no? Eso me estan diciendo??? Senores, el servicio esta decayendo muchisimo, si no hacen algo al respecto, en vez de ofrecer la aplicacion que ya tengo, mejor cierren y dediquense a otra cosa! Mc Donald, si bien no es de mi preferencia, tiene mucho mejor servicio, deberian aprender de la competencia!!
Muy poco seria la respuesta!",3,30.0,https://www.google.com/maps/contrib/107250283972233141191/reviews?hl=en
35,burger king vilafranca,Jose Naranjo,No Review,1,30.0,https://www.google.com/maps/contrib/102391286547602468654/reviews?hl=en
36,burger king vilafranca,Eder Ojeda,Estuve el jueves no tenian de nada ni cocacola ni servilletas ni unos cuantos helados luego pides y recalcas que la hamburguesa lleve cebolla y es una que normalmente la lleva y te la encuentras sin luego no habia mucha gente y son muy lentos una de las veces 1 hora y media esperando es lamentable,1,30.0,https://www.google.com/maps/contrib/107369697402876187064/reviews?hl=en
